,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
0,61,73,0.06965986394557823,1.486077097505669,3.0,24.0,62,1.0,12
1,61,195,0.06965986394557823,2.809614512471655,3.0,34.0,179,3.0,134
2,61,335,0.06965986394557823,1.0913378684807256,3.0,23.0,278,1.0,274
3,61,272,0.06965986394557823,2.8328344671201813,3.0,32.0,242,3.0,211
4,61,475,0.06965986394557823,1.9504761904761905,3.0,19.0,422,2.0,414
5,61,459,0.06965986394557823,2.1362358276644,3.0,25.0,408,2.0,398
6,61,466,0.06965986394557823,3.01859410430839,3.0,17.0,424,3.0,405
7,73,195,1.486077097505669,2.809614512471655,24.0,34.0,135,1.0,122
8,73,195,1.486077097505669,3.2740136054421765,24.0,34.0,144,2.0,122
9,73,272,1.486077097505669,2.8328344671201813,24.0,32.0,207,1.0,199
10,73,273,1.486077097505669,3.738412698412698,24.0,35.0,222,2.0,200
11,73,466,1.486077097505669,3.01859410430839,24.0,17.0,399,2.0,393
12,195,273,2.809614512471655,4.481451247165533,34.0,34.0,106,2.0,78
13,195,273,2.809614512471655,5.27092970521542,34.0,32.0,132,2.0,78
14,195,456,2.809614512471655,4.7136507936507925,34.0,23.0,274,2.0,261
15,195,472,2.809614512471655,5.2477097505668935,34.0,18.0,296,2.0,277
16,195,616,2.809614512471655,4.73687074829932,34.0,11.0,429,2.0,421
17,195,663,2.809614512471655,5.27092970521542,34.0,8.0,480,2.0,468
18,195,273,3.2740136054421765,4.481451247165533,34.0,34.0,94,1.0,78
19,195,273,3.2740136054421765,5.27092970521542,34.0,32.0,116,2.0,78
20,195,456,3.2740136054421765,4.7136507936507925,34.0,23.0,268,1.0,261
21,195,472,3.2740136054421765,5.2477097505668935,34.0,18.0,290,2.0,277
22,195,616,3.2740136054421765,4.73687074829932,34.0,11.0,426,1.0,421
23,195,663,3.2740136054421765,5.27092970521542,34.0,8.0,476,2.0,468
24,195,213,4.481451247165533,6.640907029478457,31.0,29.0,95,2.0,18
25,195,273,4.481451247165533,7.128526077097505,31.0,35.0,138,3.0,78
26,195,437,4.481451247165533,6.594467120181407,31.0,16.0,259,2.0,242
27,195,466,4.481451247165533,7.198185941043084,31.0,21.0,295,3.0,271
28,195,622,4.481451247165533,6.594467120181407,31.0,6.0,437,2.0,427
29,195,618,4.481451247165533,7.198185941043084,31.0,7.0,439,3.0,423
30,195,213,5.27092970521542,6.640907029478457,32.0,29.0,62,1.0,18
31,195,273,5.27092970521542,7.128526077097505,32.0,35.0,112,2.0,78
32,195,437,5.27092970521542,6.594467120181407,32.0,16.0,249,1.0,242
33,195,466,5.27092970521542,7.198185941043084,32.0,21.0,283,2.0,271
34,195,592,5.27092970521542,8.150204081632653,32.0,6.0,416,3.0,397
35,195,622,5.27092970521542,6.594467120181407,32.0,6.0,431,1.0,427
36,195,618,5.27092970521542,7.198185941043084,32.0,7.0,431,2.0,423
37,195,273,6.199727891156463,8.684263038548753,31.0,27.0,132,2.0,78
38,195,592,6.199727891156463,8.150204081632653,31.0,6.0,406,2.0,397
39,195,273,7.10530612244898,8.684263038548753,34.0,27.0,103,2.0,78
40,195,209,7.10530612244898,9.682721088435374,34.0,30.0,112,3.0,14
41,195,592,7.10530612244898,8.150204081632653,34.0,6.0,400,1.0,397
42,195,446,7.10530612244898,9.682721088435374,34.0,21.0,274,3.0,251
43,195,639,7.10530612244898,9.682721088435374,34.0,6.0,458,3.0,444
44,195,78,8.196643990929706,10.959818594104311,26.0,33.0,167,3.0,117
45,195,78,8.196643990929706,11.099138321995463,26.0,33.0,171,3.0,117
46,195,209,8.196643990929706,9.682721088435374,26.0,30.0,66,1.0,14
47,195,234,8.196643990929706,10.959818594104311,26.0,32.0,125,3.0,39
48,195,233,8.196643990929706,10.983038548752834,26.0,31.0,126,3.0,38
49,195,446,8.196643990929706,9.682721088435374,26.0,21.0,259,1.0,251
50,195,467,8.196643990929706,10.936598639455783,26.0,16.0,296,3.0,272
51,195,639,8.196643990929706,9.682721088435374,26.0,6.0,449,1.0,444
52,195,630,8.196643990929706,10.147120181405896,26.0,6.0,443,2.0,435
53,195,662,8.196643990929706,10.983038548752834,26.0,7.0,482,3.0,467
54,195,78,9.798820861678005,10.959818594104311,24.0,33.0,127,1.0,117
55,195,78,9.798820861678005,11.099138321995463,24.0,33.0,130,1.0,117
56,195,234,9.798820861678005,10.959818594104311,24.0,32.0,63,1.0,39
57,195,233,9.798820861678005,10.983038548752834,24.0,31.0,64,1.0,38
58,195,217,9.798820861678005,12.469115646258507,24.0,30.0,117,3.0,22
59,195,467,9.798820861678005,10.936598639455783,24.0,16.0,276,1.0,272
60,195,454,9.798820861678005,11.517097505668936,24.0,17.0,269,2.0,259
61,195,489,9.798820861678005,12.004716553287984,24.0,23.0,309,2.0,294
62,195,662,9.798820861678005,10.983038548752834,24.0,7.0,470,1.0,467
63,195,652,9.798820861678005,12.167256235827663,24.0,8.0,468,2.0,457
64,78,195,10.959818594104311,12.004716553287984,33.0,36.0,125,1.0,117
65,78,217,10.959818594104311,12.469115646258507,33.0,30.0,153,2.0,139
66,78,273,10.959818594104311,13.07283446712018,33.0,28.0,215,2.0,195
67,78,489,10.959818594104311,12.004716553287984,33.0,23.0,413,1.0,411
68,78,465,10.959818594104311,12.979954648526075,33.0,15.0,397,2.0,387
69,78,217,11.099138321995463,12.469115646258507,33.0,30.0,151,1.0,139
70,78,273,11.099138321995463,13.07283446712018,33.0,28.0,213,2.0,195
71,78,273,11.099138321995463,14.001632653061225,33.0,28.0,232,3.0,195
72,78,465,11.099138321995463,12.979954648526075,33.0,15.0,395,2.0,387
73,195,78,12.004716553287984,14.582131519274375,36.0,26.0,161,3.0,117
74,195,273,12.004716553287984,13.07283446712018,36.0,28.0,91,1.0,78
75,195,273,12.004716553287984,14.001632653061225,36.0,28.0,116,2.0,78
76,195,456,12.004716553287984,14.55891156462585,36.0,16.0,283,3.0,261
77,195,662,12.004716553287984,13.142494331065759,36.0,5.0,470,1.0,467
78,195,627,12.004716553287984,14.55891156462585,36.0,11.0,446,3.0,432
79,78,195,12.979954648526075,15.418049886621315,29.0,27.0,157,2.0,117
80,78,273,12.979954648526075,14.001632653061225,29.0,28.0,200,1.0,195
81,78,234,12.979954648526075,15.069750566893426,29.0,30.0,180,2.0,156
82,78,456,12.979954648526075,14.55891156462585,29.0,16.0,384,2.0,378
83,78,471,12.979954648526075,15.069750566893426,29.0,22.0,403,2.0,393
84,78,195,14.582131519274375,16.393287981859412,26.0,30.0,141,2.0,117
85,78,195,14.582131519274375,17.531065759637187,26.0,29.0,173,3.0,117
86,78,272,14.582131519274375,16.904126984126986,26.0,31.0,218,2.0,194
87,78,273,14.582131519274375,17.04344671201814,26.0,32.0,222,2.0,195
88,78,467,14.582131519274375,16.718367346938773,26.0,27.0,400,2.0,389
89,78,505,14.582131519274375,17.020226757369613,26.0,25.0,440,2.0,427
90,195,197,15.418049886621315,18.18122448979592,27.0,24.0,119,3.0,2
91,195,272,15.418049886621315,16.904126984126986,27.0,31.0,100,1.0,77
92,195,273,15.418049886621315,17.04344671201814,27.0,32.0,105,2.0,78
93,195,234,15.418049886621315,17.99546485260771,27.0,27.0,118,3.0,39
94,195,467,15.418049886621315,16.718367346938773,27.0,27.0,278,1.0,272
95,195,505,15.418049886621315,17.020226757369613,27.0,25.0,318,2.0,310
96,195,651,15.418049886621315,16.973786848072564,27.0,12.0,461,2.0,456
97,195,651,15.418049886621315,17.020226757369613,27.0,15.0,461,2.0,456
98,195,197,16.393287981859412,18.18122448979592,30.0,24.0,77,2.0,2
99,195,234,16.393287981859412,17.99546485260771,30.0,27.0,79,2.0,39
100,195,439,16.393287981859412,18.83138321995465,30.0,16.0,266,2.0,244
101,195,644,16.393287981859412,18.85460317460317,30.0,4.0,461,2.0,449
102,195,193,17.531065759637187,19.43510204081633,29.0,27.0,82,2.0,2
103,195,235,17.531065759637187,19.92272108843537,29.0,28.0,110,2.0,40
104,195,439,17.531065759637187,18.83138321995465,29.0,16.0,250,1.0,244
105,195,562,17.531065759637187,19.458321995464853,29.0,20.0,376,2.0,367
106,195,644,17.531065759637187,18.85460317460317,29.0,4.0,453,1.0,449
107,195,616,17.531065759637187,19.4118820861678,29.0,14.0,429,2.0,421
108,197,193,18.18122448979592,19.43510204081633,24.0,27.0,54,1.0,4
109,197,195,18.18122448979592,20.22458049886621,24.0,30.0,88,2.0,2
110,197,112,18.18122448979592,20.990839002267574,24.0,24.0,148,3.0,85
111,197,235,18.18122448979592,19.92272108843537,24.0,28.0,84,2.0,38
112,197,335,18.18122448979592,20.688979591836734,24.0,37.0,175,3.0,138
113,197,562,18.18122448979592,19.458321995464853,24.0,20.0,369,1.0,365
114,197,450,18.18122448979592,20.967619047619053,24.0,20.0,280,3.0,253
115,197,616,18.18122448979592,19.4118820861678,24.0,14.0,422,1.0,419
116,193,112,19.43510204081633,20.990839002267574,27.0,24.0,105,2.0,81
117,193,335,19.43510204081633,20.688979591836734,27.0,37.0,152,1.0,142
118,193,264,19.43510204081633,21.919637188208622,27.0,25.0,128,2.0,71
119,193,450,19.43510204081633,20.967619047619053,27.0,20.0,265,2.0,257
120,193,527,19.43510204081633,21.89641723356009,27.0,25.0,350,2.0,334
121,193,628,19.43510204081633,21.89641723356009,27.0,15.0,448,2.0,435
122,193,615,19.43510204081633,21.989297052154196,27.0,1.0,436,3.0,422
123,195,87,20.22458049886621,22.80199546485261,30.0,28.0,155,3.0,108
124,195,90,20.22458049886621,23.19673469387755,30.0,32.0,166,3.0,105
125,195,264,20.22458049886621,21.919637188208622,30.0,25.0,100,2.0,69
126,195,214,20.22458049886621,22.546575963718823,30.0,20.0,102,2.0,19
127,195,361,20.22458049886621,23.17351473922902,30.0,31.0,209,3.0,166
128,195,527,20.22458049886621,21.89641723356009,30.0,25.0,340,2.0,332
129,195,414,20.22458049886621,22.778775510204078,30.0,18.0,245,3.0,219
130,195,493,20.22458049886621,23.1502947845805,30.0,31.0,324,3.0,298
131,195,628,20.22458049886621,21.89641723356009,30.0,15.0,439,2.0,433
132,195,615,20.22458049886621,21.989297052154196,30.0,1.0,427,2.0,420
133,195,651,20.22458049886621,23.1502947845805,30.0,17.0,473,3.0,456
134,112,87,20.990839002267574,22.80199546485261,24.0,28.0,82,2.0,25
135,112,90,20.990839002267574,23.19673469387755,24.0,32.0,98,2.0,22
136,112,214,20.990839002267574,22.546575963718823,24.0,20.0,122,2.0,102
137,112,361,20.990839002267574,23.17351473922902,24.0,31.0,266,2.0,249
138,112,414,20.990839002267574,22.778775510204078,24.0,18.0,312,2.0,302
139,112,493,20.990839002267574,23.1502947845805,24.0,31.0,392,2.0,381
140,87,194,22.80199546485261,24.40417233560091,28.0,25.0,127,2.0,107
141,87,204,22.80199546485261,25.63482993197279,28.0,34.0,169,3.0,117
142,87,208,22.80199546485261,24.380952380952387,28.0,21.0,139,2.0,121
143,87,205,22.80199546485261,25.63482993197279,28.0,33.0,170,3.0,118
144,87,459,22.80199546485261,24.380952380952387,28.0,25.0,378,2.0,372
145,87,505,22.80199546485261,25.611609977324267,28.0,24.0,435,3.0,418
146,90,194,23.19673469387755,24.40417233560091,32.0,25.0,116,1.0,104
147,90,204,23.19673469387755,25.63482993197279,32.0,34.0,155,2.0,114
148,90,197,23.19673469387755,26.00634920634921,32.0,20.0,162,3.0,107
149,90,208,23.19673469387755,24.380952380952387,32.0,21.0,129,1.0,118
150,90,205,23.19673469387755,25.63482993197279,32.0,33.0,156,2.0,115
151,90,329,23.19673469387755,26.00634920634921,32.0,19.0,268,3.0,239
152,90,459,23.19673469387755,24.380952380952387,32.0,25.0,373,1.0,369
153,90,505,23.19673469387755,25.611609977324267,32.0,24.0,428,2.0,415
154,194,204,24.40417233560091,25.63482993197279,25.0,34.0,54,1.0,10
155,194,197,24.40417233560091,26.00634920634921,25.0,20.0,69,2.0,3
156,194,89,24.40417233560091,27.16734693877551,25.0,24.0,159,3.0,105
157,194,205,24.40417233560091,25.63482993197279,25.0,33.0,54,1.0,11
158,194,329,24.40417233560091,26.00634920634921,25.0,19.0,152,2.0,135
159,194,403,24.40417233560091,27.16734693877551,25.0,21.0,241,3.0,209
160,194,505,24.40417233560091,25.611609977324267,25.0,24.0,315,1.0,311
161,194,558,24.40417233560091,26.865487528344673,25.0,20.0,379,2.0,364
162,194,615,24.40417233560091,25.63482993197279,25.0,10.0,424,1.0,421
163,194,627,24.40417233560091,26.865487528344673,25.0,6.0,446,2.0,433
164,204,89,25.63482993197279,27.16734693877551,34.0,24.0,133,2.0,115
165,204,85,25.63482993197279,28.00326530612245,34.0,15.0,157,2.0,119
166,204,403,25.63482993197279,27.16734693877551,34.0,21.0,210,2.0,199
167,204,234,25.63482993197279,28.60698412698413,34.0,13.0,131,3.0,30
168,204,558,25.63482993197279,26.865487528344673,34.0,20.0,358,1.0,354
169,204,422,25.63482993197279,27.840725623582767,34.0,19.0,238,2.0,218
170,204,427,25.63482993197279,28.049705215419504,34.0,20.0,246,2.0,223
171,204,627,25.63482993197279,26.865487528344673,34.0,6.0,426,1.0,423
172,204,619,25.63482993197279,28.07292517006803,34.0,4.0,428,2.0,415
173,197,89,26.00634920634921,27.16734693877551,20.0,24.0,119,1.0,108
174,197,85,26.00634920634921,28.00326530612245,20.0,15.0,141,2.0,112
175,197,403,26.00634920634921,27.16734693877551,20.0,21.0,212,1.0,206
176,197,234,26.00634920634921,28.60698412698413,20.0,13.0,118,3.0,37
177,197,422,26.00634920634921,27.840725623582767,20.0,19.0,238,2.0,225
178,197,427,26.00634920634921,28.049705215419504,20.0,20.0,246,2.0,230
179,197,619,26.00634920634921,28.07292517006803,20.0,4.0,431,2.0,422
180,89,195,27.16734693877551,29.32680272108844,24.0,24.0,141,2.0,106
181,89,234,27.16734693877551,28.60698412698413,24.0,13.0,158,1.0,145
182,89,240,27.16734693877551,29.257142857142853,24.0,22.0,176,2.0,151
183,89,506,27.16734693877551,29.280362811791388,24.0,22.0,427,2.0,417
184,85,195,28.00326530612245,29.32680272108844,15.0,24.0,124,1.0,110
185,85,199,28.00326530612245,30.511020408163265,15.0,23.0,157,3.0,114
186,85,240,28.00326530612245,29.257142857142853,15.0,22.0,164,1.0,155
187,85,207,28.00326530612245,30.487800453514737,15.0,23.0,162,2.0,122
188,85,506,28.00326530612245,29.280362811791388,15.0,22.0,425,1.0,421
189,85,458,28.00326530612245,30.511020408163265,15.0,27.0,388,3.0,373
190,195,199,29.32680272108844,30.511020408163265,24.0,23.0,51,1.0,4
191,195,196,29.32680272108844,31.579138321995462,24.0,30.0,97,2.0,1
192,195,207,29.32680272108844,30.487800453514737,24.0,23.0,51,1.0,12
193,195,210,29.32680272108844,31.71845804988662,24.0,34.0,104,2.0,15
194,195,218,29.32680272108844,32.08997732426304,24.0,19.0,121,3.0,23
195,195,458,29.32680272108844,30.511020408163265,24.0,27.0,268,1.0,263
196,195,464,29.32680272108844,31.509478458049887,24.0,24.0,285,2.0,269
197,195,429,29.32680272108844,32.113197278911564,24.0,24.0,263,3.0,234
198,195,629,29.32680272108844,30.511020408163265,24.0,13.0,437,1.0,434
199,195,674,29.32680272108844,31.71845804988662,24.0,10.0,490,2.0,479
200,195,619,29.32680272108844,32.113197278911564,24.0,12.0,441,3.0,424
201,199,196,30.511020408163265,31.579138321995462,23.0,30.0,46,1.0,3
202,199,66,30.511020408163265,32.833015873015874,23.0,35.0,166,2.0,133
203,199,88,30.511020408163265,33.3902947845805,23.0,17.0,166,3.0,111
204,199,210,30.511020408163265,31.71845804988662,23.0,34.0,53,1.0,11
205,199,218,30.511020408163265,32.08997732426304,23.0,19.0,71,2.0,19
206,199,233,30.511020408163265,33.25097505668934,23.0,17.0,123,3.0,34
207,199,429,30.511020408163265,32.113197278911564,23.0,24.0,240,2.0,230
208,199,674,30.511020408163265,31.71845804988662,23.0,10.0,478,1.0,475
209,199,619,30.511020408163265,32.113197278911564,23.0,12.0,426,2.0,420
210,196,66,31.579138321995462,32.833015873015874,30.0,35.0,141,1.0,130
211,196,88,31.579138321995462,33.3902947845805,30.0,17.0,133,2.0,108
212,196,203,31.579138321995462,34.15655328798186,30.0,29.0,111,3.0,7
213,196,233,31.579138321995462,33.25097505668934,30.0,17.0,81,2.0,37
214,196,205,31.579138321995462,34.15655328798186,30.0,27.0,111,3.0,9
215,196,484,31.579138321995462,33.877913832199546,30.0,9.0,305,2.0,288
216,196,453,31.579138321995462,34.13333333333333,30.0,26.0,280,3.0,257
217,196,629,31.579138321995462,34.13333333333333,30.0,20.0,447,3.0,433
218,66,203,32.833015873015874,34.15655328798186,35.0,29.0,148,1.0,137
219,66,99,32.833015873015874,35.642630385487536,35.0,23.0,125,3.0,33
220,66,205,32.833015873015874,34.15655328798186,35.0,27.0,150,1.0,139
221,66,346,32.833015873015874,35.642630385487536,35.0,19.0,305,3.0,280
222,66,484,32.833015873015874,33.877913832199546,35.0,9.0,420,1.0,418
223,66,453,32.833015873015874,34.13333333333333,35.0,26.0,391,1.0,387
224,66,445,32.833015873015874,35.642630385487536,35.0,27.0,398,3.0,379
225,88,99,33.3902947845805,35.642630385487536,17.0,23.0,98,2.0,11
226,88,346,33.3902947845805,35.642630385487536,17.0,19.0,276,2.0,258
227,88,207,33.3902947845805,36.037369614512464,17.0,35.0,165,3.0,119
228,88,445,33.3902947845805,35.642630385487536,17.0,27.0,370,2.0,357
229,203,99,34.15655328798186,35.642630385487536,29.0,23.0,122,1.0,104
230,203,199,34.15655328798186,36.43210884353741,29.0,38.0,98,2.0,4
231,203,346,34.15655328798186,35.642630385487536,29.0,19.0,157,1.0,143
232,203,207,34.15655328798186,36.037369614512464,29.0,35.0,81,2.0,4
233,203,445,34.15655328798186,35.642630385487536,29.0,27.0,250,1.0,242
234,203,447,34.15655328798186,36.45532879818594,29.0,21.0,263,2.0,244
235,203,615,34.15655328798186,35.340770975056685,29.0,9.0,415,1.0,412
236,203,627,34.15655328798186,36.037369614512464,29.0,11.0,432,2.0,424
237,99,200,35.642630385487536,37.63954648526077,23.0,33.0,133,2.0,101
238,99,80,35.642630385487536,38.40580498866213,23.0,29.0,121,3.0,19
239,99,358,35.642630385487536,37.63954648526077,23.0,21.0,273,2.0,259
240,99,217,35.642630385487536,38.38258503401361,23.0,23.0,167,3.0,118
241,99,557,35.642630385487536,37.802086167800454,23.0,26.0,467,2.0,458
242,99,437,35.642630385487536,38.38258503401361,23.0,25.0,358,3.0,338
243,199,200,36.43210884353741,37.63954648526077,38.0,33.0,52,1.0,1
244,199,80,36.43210884353741,38.40580498866213,38.0,29.0,146,2.0,119
245,199,358,36.43210884353741,37.63954648526077,38.0,21.0,167,1.0,159
246,199,217,36.43210884353741,38.38258503401361,38.0,23.0,86,2.0,18
247,199,237,36.43210884353741,39.032743764172345,38.0,26.0,118,3.0,38
248,199,557,36.43210884353741,37.802086167800454,38.0,26.0,363,1.0,358
249,199,437,36.43210884353741,38.38258503401361,38.0,25.0,252,2.0,238
250,199,475,36.43210884353741,39.00952380952381,38.0,21.0,297,3.0,276
251,199,626,36.43210884353741,37.77886621315193,38.0,4.0,431,1.0,427
252,199,695,36.43210884353741,39.00952380952381,38.0,4.0,508,3.0,496
253,200,88,37.63954648526077,39.77578231292517,33.0,31.0,145,2.0,112
254,200,237,37.63954648526077,39.032743764172345,33.0,26.0,70,1.0,37
255,200,234,37.63954648526077,40.24018140589568,33.0,31.0,117,3.0,34
256,200,475,37.63954648526077,39.00952380952381,33.0,21.0,281,1.0,275
257,200,459,37.63954648526077,40.24018140589568,33.0,25.0,282,3.0,259
258,200,695,37.63954648526077,39.00952380952381,33.0,4.0,499,1.0,495
259,80,88,38.40580498866213,39.77578231292517,29.0,31.0,60,1.0,8
260,80,195,38.40580498866213,40.89034013605442,29.0,28.0,157,2.0,115
261,80,67,38.40580498866213,41.192199546485256,29.0,32.0,121,3.0,13
262,80,234,38.40580498866213,40.24018140589568,29.0,31.0,173,2.0,154
263,80,459,38.40580498866213,40.24018140589568,29.0,25.0,387,2.0,379
264,88,195,39.77578231292517,40.89034013605442,31.0,28.0,117,1.0,107
265,88,67,39.77578231292517,41.192199546485256,31.0,32.0,65,1.0,21
266,88,67,39.77578231292517,42.283537414965984,31.0,38.0,110,3.0,21
267,88,248,39.77578231292517,41.44761904761905,31.0,27.0,175,2.0,160
268,88,218,39.77578231292517,41.98167800453515,31.0,26.0,161,2.0,130
269,88,495,39.77578231292517,41.47083900226757,31.0,22.0,413,2.0,407
270,88,495,39.77578231292517,42.678276643990934,31.0,20.0,426,3.0,407
271,195,67,40.89034013605442,42.283537414965984,28.0,38.0,141,1.0,128
272,195,218,40.89034013605442,41.98167800453515,28.0,26.0,52,1.0,23
273,195,495,40.89034013605442,42.678276643990934,28.0,20.0,310,2.0,300
274,195,659,40.89034013605442,42.678276643990934,28.0,6.0,470,2.0,464
275,67,116,41.192199546485256,43.90893424036282,32.0,31.0,127,3.0,49
276,67,406,41.192199546485256,43.88571428571429,32.0,19.0,358,3.0,339
277,67,357,41.192199546485256,44.09469387755102,32.0,19.0,316,3.0,290
278,67,495,41.192199546485256,42.678276643990934,32.0,20.0,433,1.0,428
279,67,496,41.192199546485256,43.90893424036282,32.0,27.0,445,3.0,429
280,67,116,42.283537414965984,43.90893424036282,38.0,31.0,85,2.0,49
281,67,173,42.283537414965984,44.419773242630384,38.0,28.0,140,2.0,106
282,67,406,42.283537414965984,43.88571428571429,38.0,19.0,346,2.0,339
283,67,357,42.283537414965984,44.09469387755102,38.0,19.0,300,2.0,290
284,67,496,42.283537414965984,43.90893424036282,38.0,27.0,435,2.0,429
285,67,438,42.283537414965984,44.605532879818604,38.0,29.0,384,2.0,371
286,116,173,43.90893424036282,45.743310657596375,31.0,30.0,97,2.0,57
287,116,100,43.90893424036282,46.37024943310657,31.0,25.0,107,2.0,16
288,116,247,43.90893424036282,45.743310657596375,31.0,25.0,153,2.0,131
289,116,351,43.90893424036282,46.37024943310657,31.0,27.0,258,2.0,235
290,116,472,43.90893424036282,45.7665306122449,31.0,20.0,365,2.0,356
291,116,504,43.90893424036282,46.34702947845804,31.0,20.0,402,2.0,388
292,173,100,44.419773242630384,46.37024943310657,28.0,25.0,111,2.0,73
293,173,247,44.419773242630384,45.743310657596375,28.0,25.0,93,1.0,74
294,173,351,44.419773242630384,46.37024943310657,28.0,27.0,197,2.0,178
295,173,472,44.419773242630384,45.7665306122449,28.0,20.0,305,1.0,299
296,173,504,44.419773242630384,46.34702947845804,28.0,20.0,341,2.0,331
297,173,627,44.419773242630384,46.34702947845804,28.0,9.0,462,2.0,454
298,173,202,45.743310657596375,47.46158730158729,30.0,33.0,79,2.0,29
299,173,200,45.743310657596375,48.251065759637186,30.0,27.0,111,3.0,27
300,173,205,45.743310657596375,47.484807256235825,30.0,29.0,82,2.0,32
301,173,443,45.743310657596375,47.46158730158729,30.0,22.0,280,2.0,270
302,173,618,45.743310657596375,47.60090702947846,30.0,14.0,452,2.0,445
303,173,630,45.743310657596375,48.158185941043094,30.0,16.0,469,2.0,457
304,100,202,46.37024943310657,47.46158730158729,25.0,33.0,112,1.0,102
305,100,200,46.37024943310657,48.251065759637186,25.0,27.0,129,2.0,100
306,100,68,46.37024943310657,49.27274376417235,25.0,21.0,129,3.0,32
307,100,205,46.37024943310657,47.484807256235825,25.0,29.0,115,1.0,105
308,100,240,46.37024943310657,48.785124716553284,25.0,28.0,174,2.0,140
309,100,216,46.37024943310657,49.295963718820865,25.0,21.0,171,3.0,116
310,100,443,46.37024943310657,47.46158730158729,25.0,22.0,346,1.0,343
311,100,467,46.37024943310657,48.785124716553284,25.0,24.0,381,2.0,367
312,202,68,47.46158730158729,49.27274376417235,33.0,21.0,155,2.0,134
313,202,240,47.46158730158729,48.785124716553284,33.0,28.0,69,1.0,38
314,202,216,47.46158730158729,49.295963718820865,33.0,21.0,80,2.0,14
315,202,249,47.46158730158729,50.13188208616779,33.0,31.0,124,3.0,47
316,202,467,47.46158730158729,48.785124716553284,33.0,24.0,271,1.0,265
317,202,504,47.46158730158729,49.574603174603176,33.0,25.0,315,2.0,302
318,202,616,47.46158730158729,49.5978231292517,33.0,20.0,424,2.0,414
319,202,628,47.46158730158729,50.015782312925175,33.0,9.0,440,3.0,426
320,200,68,48.251065759637186,49.27274376417235,27.0,21.0,139,1.0,132
321,200,121,48.251065759637186,50.665941043083905,27.0,28.0,131,2.0,79
322,200,216,48.251065759637186,49.295963718820865,27.0,21.0,48,1.0,16
323,200,249,48.251065759637186,50.13188208616779,27.0,31.0,95,2.0,49
324,200,504,48.251065759637186,49.574603174603176,27.0,25.0,309,1.0,304
325,200,412,48.251065759637186,50.73560090702948,27.0,19.0,237,2.0,212
326,200,427,48.251065759637186,51.223219954648535,27.0,26.0,261,3.0,227
327,200,616,48.251065759637186,49.5978231292517,27.0,20.0,420,1.0,416
328,200,628,48.251065759637186,50.015782312925175,27.0,9.0,435,2.0,428
329,200,655,48.251065759637186,51.223219954648535,27.0,12.0,473,3.0,455
330,68,121,49.27274376417235,50.665941043083905,21.0,28.0,80,1.0,53
331,68,200,49.27274376417235,51.223219954648535,21.0,38.0,156,2.0,132
332,68,248,49.27274376417235,51.33931972789116,21.0,33.0,201,2.0,180
333,68,412,49.27274376417235,50.73560090702948,21.0,19.0,350,1.0,344
334,68,427,49.27274376417235,51.223219954648535,21.0,26.0,369,2.0,359
335,121,196,50.665941043083905,52.50031746031746,28.0,29.0,109,2.0,75
336,121,87,50.665941043083905,53.17369614512472,28.0,27.0,113,3.0,34
337,121,336,50.665941043083905,52.453877551020405,28.0,25.0,228,2.0,215
338,121,497,50.665941043083905,52.453877551020405,28.0,24.0,384,2.0,376
339,200,196,51.223219954648535,52.50031746031746,38.0,29.0,55,1.0,4
340,200,87,51.223219954648535,53.17369614512472,38.0,27.0,141,2.0,113
341,200,184,51.223219954648535,54.00961451247166,38.0,28.0,121,3.0,16
342,200,336,51.223219954648535,52.453877551020405,38.0,25.0,146,1.0,136
343,200,214,51.223219954648535,53.730975056689346,38.0,29.0,109,3.0,14
344,200,213,51.223219954648535,54.102494331065756,38.0,27.0,125,3.0,13
345,200,497,51.223219954648535,52.453877551020405,38.0,24.0,302,1.0,297
346,200,507,51.223219954648535,53.68453514739229,38.0,23.0,325,2.0,307
347,200,528,51.223219954648535,54.00961451247166,38.0,25.0,349,3.0,328
348,200,626,51.223219954648535,52.91827664399093,38.0,16.0,432,2.0,426
349,200,628,51.223219954648535,53.66131519274376,38.0,10.0,441,2.0,428
350,200,615,51.223219954648535,54.056054421768714,38.0,15.0,433,3.0,415
351,196,184,52.50031746031746,54.00961451247166,29.0,28.0,66,2.0,12
352,196,82,52.50031746031746,54.98485260770976,29.0,20.0,156,2.0,114
353,196,214,52.50031746031746,53.730975056689346,29.0,29.0,56,1.0,18
354,196,213,52.50031746031746,54.102494331065756,29.0,27.0,71,2.0,17
355,196,507,52.50031746031746,53.68453514739229,29.0,23.0,315,1.0,311
356,196,528,52.50031746031746,54.00961451247166,29.0,25.0,338,2.0,332
357,196,445,52.50031746031746,55.19383219954649,29.0,14.0,275,3.0,249
358,196,628,52.50031746031746,53.66131519274376,29.0,10.0,435,1.0,432
359,196,615,52.50031746031746,54.056054421768714,29.0,15.0,424,2.0,419
360,196,617,52.50031746031746,55.19383219954649,29.0,12.0,437,3.0,421
361,87,82,53.17369614512472,54.98485260770976,27.0,20.0,78,2.0,5
362,87,247,53.17369614512472,55.51891156462585,27.0,19.0,189,2.0,160
363,87,218,53.17369614512472,56.09941043083901,27.0,22.0,182,3.0,131
364,87,445,53.17369614512472,55.19383219954649,27.0,14.0,368,2.0,358
365,87,559,53.17369614512472,56.09941043083901,27.0,26.0,489,3.0,472
366,184,190,54.00961451247166,56.749569160997744,28.0,21.0,118,3.0,6
